UCUM_symbol,label_en,exact_synonym_pluralize_en,exact_synonym_non_pluralize_en,pluralize_label_en,Equivalent_UCUM_Code,definition_en,definition_source,SI_symbol,label_fr,definition_fr,label_zh,definition_zh,comment_en,SI_category,Notes
A,ampere,,,,,"An SI base unit which 1) is the SI unit of electric current and 2) is defined by taking the fixed numerical value of the elementary charge, e, to be 1.602 176 634 × 10⁻¹⁹ when expressed in the unit coulomb, which is equal to an ampere second, where the second is defined in terms of ∆νCs. ",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,A,ampère,"Unité de base du SI qui représente 1) l'unité  d’intensité de courant électrique du SI et 2) et est défini en prenant la valeur numérique fixée de la charge élémentaire, e, égale à 1,602 176 634 × 10−19 lorsqu’elle est exprimée en C, unité égale à A s, la seconde étant définie en fonction de ΔνCs.",安培,,,Base unit,
cd,candela,,,,,"An SI base unit which 1) is the SI unit of of luminous intensity in a given direction and 2) is defined by taking the fixed numerical value of the luminous efficacy of monochromatic radiation of frequency 540 × 10¹² Hz, Kcd, to be 683 when expressed in the unit lumen per watt, which is equal to candela steradian per watt, or candela cubic second steradian per kilogram square metre, where the kilogram, metre and second are defined in terms of h, c and ∆νCs.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,cd,candela,"Unité de base du SI qui représente 1) l’intensité lumineuse dans une direction
donnée et 2) est définie en prenant la valeur numérique fixée de l’efficacité lumineuse
d’un rayonnement monochromatique de fréquence 540 × 1012 Hz, Kcd, égale à
683 lorsqu’elle est exprimée en lmW−1, unité égale à cd srW−1, ou cd sr kg−1 m−2 s3,
le kilogramme, le mètre et la seconde étant définis en fonction de h, c et ΔνCs.",坎德拉,,,Base unit,
K,kelvin,,degree Kelvin|degrees Kelvin,FALSE,,"An SI base unit which 1) is the SI unit of thermodynamic temperature and 2) is defined by taking the fixed numerical value of the Boltzmann constant, k, to be 1.380 649 × 10⁻²³ when expressed in the unit joule per kelvin, which is equal to kilogram square metre per kelvin square second, where the kilogram, metre and second are defined in terms of h, c and ∆νCs.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,K,kelvin,"Unité de base du SI qui représente 1) l’unité de température thermodynamique du SI et 2) est défini en prenant la valeur numérique fixée de la constante de Boltzmann, k, égale à 1,380 649 × 10−23 lorsqu’elle est exprimée en J K−1, unité égale à kg m2 s−2 K−1,
le kilogramme, le mètre et la seconde étant définis en fonction de h, c et ΔνCs.",开尔文,,,Base unit,
mol,mole,,,,,"An SI base unit which 1) is the SI unit of amount of substance and 2) is defined such that one mole contains exactly 6.022 140 76 × 10²³ elementary entities. This number is the fixed numerical value of the Avogadro constant, NA, when expressed in the unit reciprocal mol and is called the Avogadro number. The amount of substance, symbol n, of a system is a measure of the number of specified elementary entities. An elementary entity may be an atom, a molecule, an ion, an electron, any other particle or specified group of particles.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,mol,mole,"Unité de base du SI qui représente 1) l’unité de quantité de matière du SI et 2) est défini comme contenant exactement 6,022 140 76 × 1023 entités élémentaires. Ce nombre, appelé « nombre d’Avogadro », correspond à la valeur numérique fixée de la constante
d’Avogadro, NA, lorsqu’elle est exprimée en mol−1. La quantité de matière, symbole n, d’un système est une représentation du nombre d’entités élémentaires spécifiées. Une entité élémentaire peut être un atome, une molécule, un ion, un électron, ou toute autre particule ou groupement spécifié de particules",摩尔,,,Base unit,
m,metre,meter,,,,"An SI base unit which 1) is the SI unit of length and 2) is defined by taking the fixed numerical value of the speed of light in vacuum, c, to be 299 792 458 when expressed in the unit metre per second, where the second is defined in terms of the caesium frequency ∆νCs.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,m,mètre,"Unité de base du SI qui représente 1) l’unité de longueur du SI et 2) est défini en prenant la valeur numérique fixée de la vitesse de la lumière dans le vide, c, égale à 299 792 458 lorsqu’elle est exprimée en m s−1, la seconde étant définie en fonction de ΔνCs.",米,,,Base unit,
s,second,,second - time,,,"An SI base unit which 1) is the SI unit of time and 2) is defined by taking the fixed numerical value of the caesium frequency, ∆νCs, the unperturbed ground-state hyperfine transition frequency of the caesium 133 atom, to be 9 192 631 770 when expressed in the unit hertz, which is equal to a reciprocal second.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,s,seconde,"Unité de base du SI qui représente 1) l’unité de temps du SI et 2) est définie en prenant la valeur numérique fixée de la fréquence du césium, ∆νCs, la fréquence de la transition hyperfine de l’état fondamental de l’atome de césium 133 non perturbé, égale à
9 192 631 770 lorsqu’elle est exprimée en Hz, unité égale à s−1.",秒,,,Base unit,
g,gram,,,,,An SI unit which is equal to 10⁻³ kilogram.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,g,gramme,Unité du SI égale à 10⁻³ kilogrammes.,公克,,,Base unit*,mentions kg not g
Bq,becquerel,,,,,A special named SI unit which 1) is a unit of activity referred to a radionuclide and 2) is equal to a reciprocal second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Bq,becquerel,Unité spéciale du SI qui 1) est une unité SI pour les rayonnements ionisants et 2) est égale à la seconde à la puissance moins un.,贝克勒尔,,,Special named,
C,coulomb,,,,,A special named SI unit which 1) is a unit of electric charge and 2) is equal to an ampere second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,C,coulomb,Unité spéciale du SI qui 1) est une unité de quantité d’électricité du SI et 2) est égale à la quantité d’électricité transportée en 1 seconde par un courant de 1 ampère.,库仑,,,Special named,
Cel,degree Celsius,,,,,A special named SI unit which 1) is a unit of temperature and 2) is equal to a one kelvin.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,°C,degré Celsius,Unité spéciale du SI qui 1) est une unité de température et 2) est égale à un Kelvin,摄氏度,,"Special care must be taken when expressing temperatures or temperature differences, respectively. A temperature difference of 1 K equals that of 1ᵒC, but for an absolute temperature the difference of 273.15 K must be taken into account. The unit degree Celsius is only coherent when expressing temperature differences.",Special named,
F,farad,,,,,A special named SI unit which 1) is a unit of capacitance and 2) is equal to a square ampere quartic second per kilogram square metre.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,F,farad,"Unité spéciale du SI qui 1) est une unité de capacité électrique et 2) est la capacité d’un condensateur électrique entre les armatures duquel apparaît une différence de potentiel électrique de 1 volt, lorsqu’il est chargé d’une quantité d’électricité égale à 1 coulomb.",法拉,,,Special named,
Gy,gray,,,,,A special named SI unit which 1) is a unit of absorbed dose and 2) is equal to a square metre per square second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Gy,gray,Unité spéciale du SI qui 1)  est une unité de dose absorbée et 2) qui est égale au joule par kilogramme,戈瑞,,,Special named,
Hz,hertz,,,,,A special named SI unit which 1) is a unit of frequency and 2) is equal to a reciprocal second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Hz,hertz,Unité spéciale du SI qui 1) est une unité de fréquence et 2) est égale à une seconde à la puissance moins un.,赫兹,,,Special named,
H,henry,,,,,A special named SI unit which 1) is a unit of inductance or kerma and 2) is equal to a kilogram square metre per square ampere square second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,H,henry,"Unité spéciale du SI qui 1) est une unité d’inductance électrique et 2) correspond à l’inductance électrique d’un circuit fermé
dans lequel une force électromotrice de 1 volt est produite lorsque le courant électrique qui parcourt le circuit varie uniformément à raison de 1 ampère par seconde.",亨利,,,Special named,
J,joule,,,,,"A special named SI unit which 1) is a unit of energy, work, or amount of heat and 2) is equal to a kilogram square metre per square second.",https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,J,joule,Unité spéciale du SI qui 1) est une unité d’énergie ou de travail et 2) correspond au travail effectué lorsque le point d’application de 1 unité MKS de force [newton] se déplace d’une distance égale à 1 mètre dans la direction de la force.,焦耳,,,Special named,
kat,katal,,,,mol.s-1,A special named SI unit which 1) is a unit of catalytic activity and 2) is equal to a mole per second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,kat,katal,Unité spéciale du SI qui 1) est une unité d'activité catalytique et 2) est égale à une mole par seconde.,催量,,,Special named,
lm,lumen,,,,,A special named SI unit which 1) is a unit of luminous flux and 2) is equal to a candela steradian.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,lm,lumen,Unité spéciale du SI qui 1) est une unité de flux lumineux et 2) est égale au flux lumineux émis dans l’angle solide unité (stéradian) par une source ponctuelle uniforme ayant une intensité lumineuse de 1 bougie,流明,,,Special named,
lx,lux,,luxes,FALSE,,A special named SI unit which 1) is a unit of illuminance and 2) is equal to a candela steradian per square metre.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,lx,lux,Unité spéciale du SI qui 1) est une unité d'éclairement lumineux et 2) est égale à une candéla stéradian par mètre carré.,勒克斯,,,Special named,
N,newton,,,,,A special named SI unit which 1) is a unit of force and 2) is equal to a kilogram metre per square second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,N,newton,Unité spéciale du SI qui 1) est une unité de force et 2) est égale à un kilogramme mètre par seconde au carré.,牛顿,,,Special named,
Ohm,ohm,,,,,A special named SI unit which 1) is a unit of electric resistance and 2) is equal to a kilogram square metre per square ampere cubic second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Ω,ohm,"Unité spéciale du SI qui représente 1) une unité de résistance électrique et 2) est défini par la résistance électrique qui existe entre deux points  d’un  conducteur  lorsqu’une  différence  de  potentiel  constante  de  1 volt,  appliquée  entre ces deux points, produit, dans ce conducteur, un courant de 1 ampère, ce conducteur n’étant le siège d’aucune force électromotrice.",欧姆,,,Special named,
Pa,pascal,,,,,A special named SI unit which 1) is a unit of pressure or stress and 2) is equal to a kilogram per metre square second.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,Pa,pascal,Unité spéciale du SI qui 1) est une unité de pression et 2) est égale à un newton par mètre carré.,帕斯卡,,,Special named,
rad,radian,,,,,A special named SI unit which 1) is a unit of plane angle and 2) is equal to a metre per metre.,https://www.bipm.org/utils/common/pdf/si-brochure/SI-Brochure-9.pdf,rad,radian,Unité spéciale du SI qui 1) est une unité d'angle et 2) est égale à un mètre par mètre,弧度,,,Special named,
