IRI,UCUM
http://vocab.nerc.ac.uk/collection/P06/current/AMPB/,A
http://vocab.nerc.ac.uk/collection/P06/current/BQ11/,Bq
http://vocab.nerc.ac.uk/collection/P06/current/BQM3/,Bq.m-3
http://vocab.nerc.ac.uk/collection/P06/current/BQM3/,Bq/m3
http://vocab.nerc.ac.uk/collection/P06/current/BQSM/,Bq.m-2
http://vocab.nerc.ac.uk/collection/P06/current/BQSM/,Bq/m2
http://vocab.nerc.ac.uk/collection/P06/current/BSM3/,Bq.s.m-3
http://vocab.nerc.ac.uk/collection/P06/current/BSM3/,Bq.s/m3
http://vocab.nerc.ac.uk/collection/P06/current/BYTE/,By
http://vocab.nerc.ac.uk/collection/P06/current/CCPM/,mL/min
http://vocab.nerc.ac.uk/collection/P06/current/CCPM/,mL.min-1
http://vocab.nerc.ac.uk/collection/P06/current/CMCM/,mm3/m3
http://vocab.nerc.ac.uk/collection/P06/current/CMCM/,mm3.m-3
http://vocab.nerc.ac.uk/collection/P06/current/CMPS/,m3.s-1
http://vocab.nerc.ac.uk/collection/P06/current/CMPS/,m3/s
http://vocab.nerc.ac.uk/collection/P06/current/CMUM/,umol/m3
http://vocab.nerc.ac.uk/collection/P06/current/CMUM/,umol.m-3
http://vocab.nerc.ac.uk/collection/P06/current/DBPY/,dbar/a
http://vocab.nerc.ac.uk/collection/P06/current/DBPY/,dbar.a-1
http://vocab.nerc.ac.uk/collection/P06/current/DCPY/,Cel.a-1
http://vocab.nerc.ac.uk/collection/P06/current/DCPY/,Cel/a
http://vocab.nerc.ac.uk/collection/P06/current/DEGF/,[degF]
http://vocab.nerc.ac.uk/collection/P06/current/DGPM/,deg.m-1
http://vocab.nerc.ac.uk/collection/P06/current/DGPM/,deg/m
http://vocab.nerc.ac.uk/collection/P06/current/DGPS/,deg/s
http://vocab.nerc.ac.uk/collection/P06/current/DGPS/,deg.s-1
http://vocab.nerc.ac.uk/collection/P06/current/DKM2/,Cel.kg.m-2
http://vocab.nerc.ac.uk/collection/P06/current/DKM2/,Cel.kg/m2
http://vocab.nerc.ac.uk/collection/P06/current/DKPM/,K/m
http://vocab.nerc.ac.uk/collection/P06/current/DKPM/,K.m-1
http://vocab.nerc.ac.uk/collection/P06/current/EQPL/,eq.L-1
http://vocab.nerc.ac.uk/collection/P06/current/EQPL/,eq/L
http://vocab.nerc.ac.uk/collection/P06/current/EVLT/,eV
http://vocab.nerc.ac.uk/collection/P06/current/FGKG/,fg.kg-1
http://vocab.nerc.ac.uk/collection/P06/current/FGKG/,fg/kg
http://vocab.nerc.ac.uk/collection/P06/current/FGPL/,fg/L
http://vocab.nerc.ac.uk/collection/P06/current/FGPL/,fg.L-1
